#chrom	name	symbol	geneName	locus_type
chr6	HGNC:33699	KHDC3L	"KH domain containing 3 like, subcortical maternal complex member"	gene with protein product
chr6	HGNC:21382	OOEP	oocyte expressed protein	gene with protein product
chr6	HGNC:39192	OOEP-AS1	OOEP antisense RNA 1	"RNA, long non-coding"
chr6	HGNC:21383	RPL39P3	ribosomal protein L39 pseudogene 3	pseudogene
chr6	HGNC:36999	RPS6P8	ribosomal protein S6 pseudogene 8	pseudogene
chr6	HGNC:18677	DDX43	DEAD-box helicase 43	gene with protein product
chr6	HGNC:21367	CGAS	cyclic GMP-AMP synthase	gene with protein product
chr6	HGNC:19261	MTO1	mitochondrial tRNA translation optimization 1	gene with protein product
chr6	HGNC:47938	RNU6-975P	"RNA, U6 small nuclear 975, pseudogene"	pseudogene
chr6	HGNC:46843	RN7SL827P	"RNA, 7SL, cytoplasmic 827, pseudogene"	pseudogene
chr6	HGNC:3189	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	gene with protein product
chr6	HGNC:10933	SLC17A5	solute carrier family 17 member 5	gene with protein product
chr6	HGNC:35863	RPS27P15	ribosomal protein S27 pseudogene 15	pseudogene
chr6	HGNC:21685	CD109	CD109 molecule	gene with protein product
chr6	HGNC:55765	CD109-AS1	CD109 antisense RNA 1	"RNA, long non-coding"
chr6	HGNC:49487	TXNP7	thioredoxin pseudogene 7	pseudogene
chr6	HGNC:55499	FAM136FP	"family with sequence similarity 136 member F, pseudogene"	pseudogene
chr6	HGNC:2188	COL12A1	collagen type XII alpha 1 chain	gene with protein product
chr6	HGNC:51870	SNORD156	"small nucleolar RNA, C/D box 156"	"RNA, small nucleolar"
chr6	HGNC:2288	COX7A2	cytochrome c oxidase subunit 7A2	gene with protein product
chr6	HGNC:16667	TMEM30A	transmembrane protein 30A	gene with protein product
chr6	HGNC:48985	TMEM30A-DT	TMEM30A divergent transcript	"RNA, long non-coding"
chr6	HGNC:21015	FILIP1	filamin A interacting protein 1	gene with protein product
chr6	HGNC:39186	HMGB1P39	high mobility group box 1 pseudogene 39	pseudogene
chr6	HGNC:41665	MIR4463	microRNA 4463	"RNA, micro"
chr6	HGNC:52414	UBE2V1P15	UBE2V1 pseudogene 15	pseudogene
chr6	HGNC:48376	RNU1-34P	"RNA, U1 small nuclear 34, pseudogene"	pseudogene
chr6	HGNC:35933	RPL26P20	ribosomal protein L26 pseudogene 20	pseudogene
chr6	HGNC:54460	H3P27	H3 histone pseudogene 27	pseudogene
chr6	HGNC:48301	RNU6-1338P	"RNA, U6 small nuclear 1338, pseudogene"	pseudogene
chr6	HGNC:20944	SENP6	SUMO specific peptidase 6	gene with protein product
chr6	HGNC:47979	RNU6-1016P	"RNA, U6 small nuclear 1016, pseudogene"	pseudogene
chr6	HGNC:45887	RN7SKP163	RN7SK pseudogene 163	pseudogene
chr6	HGNC:7605	MYO6	myosin VI	gene with protein product
chr6	HGNC:47118	RNU6-155P	"RNA, U6 small nuclear 155, pseudogene"	pseudogene
chr6	HGNC:43109	RNA5SP209	"RNA, 5S ribosomal pseudogene 209"	pseudogene
chr6	HGNC:6055	IMPG1	interphotoreceptor matrix proteoglycan 1	gene with protein product
chr6	HGNC:47211	RNU6-248P	"RNA, U6 small nuclear 248, pseudogene"	pseudogene
chr6	HGNC:47224	RNU6-261P	"RNA, U6 small nuclear 261, pseudogene"	pseudogene
chr6	HGNC:53573	LINC02540	long intergenic non-protein coding RNA 2540	"RNA, long non-coding"
chr6	HGNC:47047	RNU6-84P	"RNA, U6 small nuclear 84, pseudogene"	pseudogene
chr6	HGNC:5287	HTR1B	5-hydroxytryptamine receptor 1B	gene with protein product
chr6	HGNC:36092	RPS6P7	ribosomal protein S6 pseudogene 7	pseudogene
chr6	HGNC:43638	MEI4	meiotic double-stranded break formation protein 4	gene with protein product
chr9	HGNC:50381	RAB28P2	"RAB28, member RAS oncogene family pseudogene 2"	pseudogene
chr9	HGNC:37665	ATP5F1AP7	ATP synthase F1 subunit alpha pseudogene 7	pseudogene
chr9	HGNC:51834	SDR42E1P3	"short chain dehydrogenase/reductase family 42E, member 1 pseudogene 3"	pseudogene
chr9	HGNC:50376	FKBP4P7	FKBP prolyl isomerase 4 pseudogene 7	pseudogene
chr9	HGNC:50702	LINC01410	long intergenic non-protein coding RNA 1410	"RNA, long non-coding"
chr9	HGNC:43183	RNA5SP283	"RNA, 5S ribosomal pseudogene 283"	pseudogene
chr9	HGNC:44749	PTGER4P2-CDK2AP2P2	"PTGER4P2-CDK2AP2P2 readthrough, transcribed pseudogene"	readthrough
chr9	HGNC:9598	PTGER4P2	prostaglandin E receptor 4 pseudogene 2	pseudogene
chr9	HGNC:38493	CDK2AP2P2	cyclin dependent kinase 2 associated protein 2 pseudogene 2	pseudogene
chr9	HGNC:38496	MYO5BP2	myosin VB pseudogene 2	pseudogene
chr9	HGNC:51182	LERFS	"lncRNA negative regulator of fibroblast-like synoviocyte migration, SYNCRIP interacting"	"RNA, long non-coding"
chr9	HGNC:32922	ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	pseudogene
chr9	HGNC:34516	FGF7P8	fibroblast growth factor 7 pseudogene 8	pseudogene
chr9	HGNC:31457	FAM88B	family with sequence similarity 88 member B	"RNA, long non-coding"
chr9	HGNC:49591	CNTNAP3P1	CNTNAP3 pseudogene 1	pseudogene
chr9	HGNC:49155	BMS1P9	BMS1 pseudogene 9	pseudogene
chr9	HGNC:32056	AQP7P4	aquaporin 7 pseudogene 4	pseudogene
chr9	HGNC:32048	AQP7P1	aquaporin 7 pseudogene 1	pseudogene
chr9	HGNC:49154	BMS1P10	BMS1 pseudogene 10	pseudogene
chr9	HGNC:35698	RPL7AP46	ribosomal protein L7a pseudogene 46	pseudogene
chr9	HGNC:54915	CDRT15P7	CDRT15 pseudogene 7	pseudogene
chr9	HGNC:38497	MYO5BP3	myosin VB pseudogene 3	pseudogene
chr9	HGNC:38494	CDK2AP2P3	cyclin dependent kinase 2 associated protein 2 pseudogene 3	pseudogene
chr9	HGNC:38498	PTGER4P3	prostaglandin E receptor 4 pseudogene 3	pseudogene
chr9	HGNC:43654	LINC00537	long intergenic non-protein coding RNA 537	"RNA, long non-coding"
chr9	HGNC:43184	RNA5SP284	"RNA, 5S ribosomal pseudogene 284"	pseudogene
chr9	HGNC:51788	DUX4L50	double homeobox 4 like 50 (pseudogene)	pseudogene
chr9	HGNC:41898	MIR4477B	microRNA 4477b	"RNA, micro"
chr9	HGNC:51768	FRG1JP	"FSHD region gene 1 family member J, pseudogene"	pseudogene
chr9	HGNC:52139	MTCO3P36	MT-CO3 pseudogene 36	pseudogene
chr9	HGNC:52101	MTCO1P36	MT-CO1 pseudogene 36	pseudogene
chr9	HGNC:54508	SOWAHCP4	SOWAHC pseudogene 4	pseudogene
chr9	HGNC:48156	RNU6-1193P	"RNA, U6 small nuclear 1193, pseudogene"	pseudogene
chr9	HGNC:32319	ANKRD20A20P	"ankyrin repeat domain 20 family member A20, pseudogene"	pseudogene
chr9	HGNC:39617	SNX18P9	sorting nexin 18 pseudogene 9	pseudogene
chr9	HGNC:39950	CYP4F45P	"cytochrome P450 family 4 subfamily F member 45, pseudogene"	pseudogene
chr9	HGNC:39949	CYP4F25P	"cytochrome P450 family 4 subfamily F member 25, pseudogene"	pseudogene
chr9	HGNC:39528	CNN2P3	calponin 2 pseudogene 3	pseudogene
chr9	HGNC:50425	GXYLT1P6	GXYLT1 pseudogene 6	pseudogene
chr9	HGNC:32049	AQP7P2	aquaporin 7 pseudogene 2	pseudogene
chr9	HGNC:49156	BMS1P11	BMS1 pseudogene 11	pseudogene
chr9	HGNC:5761	IGKV1OR-2	immunoglobulin kappa variable 1/OR-2 (pseudogene)	immunoglobulin pseudogene
chr9	HGNC:39657	BNIP3P4	BCL2 interacting protein 3 pseudogene 4	pseudogene
chr9	HGNC:37369	VN1R49P	vomeronasal 1 receptor 49 pseudogene	pseudogene
chr9	HGNC:48256	RNU6-1293P	"RNA, U6 small nuclear 1293, pseudogene"	pseudogene
chr9	HGNC:49157	BMS1P12	BMS1 pseudogene 12	pseudogene
chr9	HGNC:49473	IGKV1OR9-1	immunoglobulin kappa variable 1/OR9-1 (pseudogene)	immunoglobulin pseudogene
chr9	HGNC:18522	FOXD4L5	forkhead box D4 like 5	gene with protein product
chr9	HGNC:18520	ZNG1DP	"Zn regulated GTPase metalloprotein activator 1D, pseudogene"	pseudogene
chr9	HGNC:24584	ZNG1E	Zn regulated GTPase metalloprotein activator 1E	gene with protein product
chr9	HGNC:23762	FOXD4L4	forkhead box D4 like 4	gene with protein product
chr9	HGNC:5762	IGKV1OR-3	immunoglobulin kappa variable 1/OR-3 (pseudogene)	immunoglobulin pseudogene
chr9	HGNC:49158	BMS1P13	BMS1 pseudogene 13	pseudogene
chr9	HGNC:31976	AQP7P3	aquaporin 7 pseudogene 3	pseudogene
chr9	HGNC:50423	GXYLT1P4	GXYLT1 pseudogene 4	pseudogene
chr9	HGNC:39947	CYP4F59P	"cytochrome P450 family 4 subfamily F member 59, pseudogene"	pseudogene
chr9	HGNC:39612	SNX18P4	sorting nexin 18 pseudogene 4	pseudogene
chr9	HGNC:31981	ANKRD20A3P	"ankyrin repeat domain 20 family member A3, pseudogene"	pseudogene
chr9	HGNC:47501	RNU6-538P	"RNA, U6 small nuclear 538, pseudogene"	pseudogene
chr9	HGNC:39137	MEP1AP3	meprin A subunit alpha pseudogene 3	pseudogene
chr9	HGNC:54919	CDRT15P12	CDRT15 pseudogene 12	pseudogene
chr9	HGNC:42469	CYP4F61P	"cytochrome P450 family 4 subfamily F member 61, pseudogene"	pseudogene
chr9	HGNC:5726	RBPJP2	RBPJ pseudogene 2	pseudogene
chr9	HGNC:51548	RAB28P4	"RAB28, member RAS oncogene family pseudogene 4"	pseudogene
chr9	HGNC:37668	ATP5F1AP10	ATP synthase F1 subunit alpha pseudogene 10	pseudogene
chr9	HGNC:51835	SDR42E1P4	"short chain dehydrogenase/reductase family 42E, member 1 pseudogene 4"	pseudogene
chr9	HGNC:50377	FKBP4P8	FKBP prolyl isomerase 4 pseudogene 8	pseudogene
chr9	HGNC:49587	CNTNAP3P9	CNTNAP3 pseudogene 9	pseudogene
chr9	HGNC:25226	ZNF658	zinc finger protein 658	gene with protein product
chr9	HGNC:32031	FAM74A3	family with sequence similarity 74 member A3	"RNA, long non-coding"
chr9	HGNC:32003	SPATA31A3	SPATA31 subfamily A member 3	gene with protein product
chr9	HGNC:49589	CNTNAP3P2	CNTNAP3 pseudogene 2	pseudogene
chr9	HGNC:54576	USP12P3	USP12 pseudogene 3	pseudogene
chr9	HGNC:46438	RN7SL422P	"RNA, 7SL, cytoplasmic 422, pseudogene"	pseudogene
chr9	HGNC:50367	RBM17P2	RNA binding motif protein 17 pseudogene 2	pseudogene
chr9	HGNC:33213	VN2R7P	vomeronasal 2 receptor 7 pseudogene	pseudogene
chr9	HGNC:28655	FAM27E3	family with sequence similarity 27 member E3	"RNA, long non-coding"
chr9	HGNC:23667	FAM27B	family with sequence similarity 27 member B	"RNA, long non-coding"
chr9	HGNC:46803	RN7SL787P	"RNA, 7SL, cytoplasmic 787, pseudogene"	pseudogene
chr9	HGNC:23665	ANKRD20A1	ankyrin repeat domain 20 family member A1	gene with protein product
chr9	HGNC:47331	RNU6-368P	"RNA, U6 small nuclear 368, pseudogene"	pseudogene
chr9	HGNC:18519	ZNG1C	Zn regulated GTPase metalloprotein activator 1C	gene with protein product
chr9	HGNC:18523	FOXD4L3	forkhead box D4 like 3	gene with protein product
chr9	HGNC:44181	PGM5-AS1	PGM5 antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:8908	PGM5	phosphoglucomutase 5	gene with protein product
chr9	HGNC:28537	TMEM252	transmembrane protein 252	gene with protein product
chr9	HGNC:54377	TMEM252-DT	TMEM252 divergent transcript	"RNA, long non-coding"
chr9	HGNC:51187	LINC01506	long intergenic non-protein coding RNA 1506	"RNA, long non-coding"
chr9	HGNC:8995	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	gene with protein product
chr9	HGNC:23490	PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1	gene with protein product
chr9	HGNC:47783	RNU6-820P	"RNA, U6 small nuclear 820, pseudogene"	pseudogene
chr9	HGNC:9382	PRKACG	protein kinase cAMP-activated catalytic subunit gamma	gene with protein product
chr9	HGNC:3951	FXN	frataxin	gene with protein product
chr9	HGNC:11828	TJP2	tight junction protein 2	gene with protein product
chr9	HGNC:43877	BANCR	BRAF-activated non-protein coding RNA	"RNA, long non-coding"
chr9	HGNC:24820	ENTREP1	endosomal transmembrane epsin interactor 1	gene with protein product
chr9	HGNC:578	APBA1	amyloid beta precursor protein binding family A member 1	gene with protein product
chr9	HGNC:30449	PTAR1	protein prenyltransferase alpha subunit repeat containing 1	gene with protein product
chr9	HGNC:48713	CFAP95-DT	CFAP95 divergent transcript	"RNA, long non-coding"
chr9	HGNC:31422	CFAP95	cilia and flagella associated protein 95	gene with protein product
chr9	HGNC:46586	RN7SL570P	"RNA, 7SL, cytoplasmic 570, pseudogene"	pseudogene
chr9	HGNC:23673	MAMDC2	MAM domain containing 2	gene with protein product
chr9	HGNC:48719	MAMDC2-AS1	MAMDC2 antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:10155	RNU2-5P	"RNA, U2 small nuclear 5, pseudogene"	pseudogene
chr9	HGNC:48718	SMC5-DT	SMC5 divergent transcript	"RNA, long non-coding"
chr9	HGNC:36409	RPL24P8	RPL24 pseudogene 8	pseudogene
chr9	HGNC:20465	SMC5	structural maintenance of chromosomes 5	gene with protein product
chr9	HGNC:1123	KLF9	KLF transcription factor 9	gene with protein product
chr9	HGNC:54815	KLF9-DT	KLF9 divergent transcript	"RNA, long non-coding"
chr9	HGNC:17992	TRPM3	transient receptor potential cation channel subfamily M member 3	gene with protein product
chr9	HGNC:46742	RN7SL726P	"RNA, 7SL, cytoplasmic 726, pseudogene"	pseudogene
chr9	HGNC:31582	MIR204	microRNA 204	"RNA, micro"
chr9	HGNC:45158	PIGUP1	phosphatidylinositol glycan anchor biosynthesis class U pseudogene 1	pseudogene
chr9	HGNC:36814	RPL35AP21	ribosomal protein L35a pseudogene 21	pseudogene
chr9	HGNC:11869	CEMIP2	cell migration inducing hyaluronidase 2	gene with protein product
chr9	HGNC:24278	ABHD17B	"abhydrolase domain containing 17B, depalmitoylase"	gene with protein product
chr9	HGNC:28784	C9orf85	chromosome 9 open reading frame 85	gene with protein product
chr9	HGNC:5251	HSPB1P1	heat shock protein family B (small) member 1 pseudogene 1	pseudogene
chr9	HGNC:27037	C9orf57	chromosome 9 open reading frame 57	gene with protein product
chr9	HGNC:38566	BTF3P4	basic transcription factor 3 pseudogene 4	pseudogene
chr9	HGNC:4212	GDA	guanine deaminase	gene with protein product
chr9	HGNC:43185	RNA5SP285	"RNA, 5S ribosomal pseudogene 285"	pseudogene
chr9	HGNC:51185	LINC01504	long intergenic non-protein coding RNA 1504	"RNA, long non-coding"
chr9	HGNC:13008	ZFAND5	zinc finger AN1-type containing 5	gene with protein product
chr9	HGNC:16513	TMC1	transmembrane channel like 1	gene with protein product
chr9	HGNC:36283	RPS20P24	ribosomal protein S20 pseudogene 24	pseudogene
chr9	HGNC:35817	RPS27AP15	RPS27A pseudogene 15	pseudogene
chr9	HGNC:51111	LINC01474	long intergenic non-protein coding RNA 1474	"RNA, long non-coding"
chr9	HGNC:402	ALDH1A1	aldehyde dehydrogenase 1 family member A1	gene with protein product
chr9	HGNC:39968	CYP1D1P	"cytochrome P450 family 1 subfamily D member 1, pseudogene"	pseudogene
chr9	HGNC:533	ANXA1	annexin A1	gene with protein product
chr9	HGNC:51350	DPP3P2	DPP3 pseudogene 2	pseudogene
chr9	HGNC:43186	RNA5SP286	"RNA, 5S ribosomal pseudogene 286"	pseudogene
chr9	HGNC:49803	RORB-AS1	RORB antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:10259	RORB	RAR related orphan receptor B	gene with protein product
chr9	HGNC:17995	TRPM6	transient receptor potential cation channel subfamily M member 6	gene with protein product
chr9	HGNC:45771	RN7SKP47	RN7SK pseudogene 47	pseudogene
chr9	HGNC:51929	RPSAP75	ribosomal protein SA pseudogene 75	pseudogene
chr9	HGNC:10245	RNY4P1	RNY4 pseudogene 1	pseudogene
chr9	HGNC:47408	RNU6-445P	"RNA, U6 small nuclear 445, pseudogene"	pseudogene
chr9	HGNC:23433	C9orf40	chromosome 9 open reading frame 40	gene with protein product
chr9	HGNC:51188	CARNMT1-AS1	CARNMT1 antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:23435	CARNMT1	carnosine N-methyltransferase 1	gene with protein product
chr9	HGNC:26057	NMRK1	nicotinamide riboside kinase 1	gene with protein product
chr9	HGNC:8510	OSTF1	osteoclast stimulating factor 1	gene with protein product
chr9	HGNC:48191	RNU6-1228P	"RNA, U6 small nuclear 1228, pseudogene"	pseudogene
chr9	HGNC:33281	OTX2P1	OTX2 pseudogene 1	pseudogene
chr9	HGNC:8747	PCSK5	proprotein convertase subtilisin/kexin type 5	gene with protein product
chr9	HGNC:39698	RBM22P5	RNA binding motif protein 22 pseudogene 5	pseudogene
chr9	HGNC:30324	RFK	riboflavin kinase	gene with protein product
chr9	HGNC:31463	RPSAP9	ribosomal protein SA pseudogene 9	pseudogene
chr9	HGNC:54465	H3P32	H3 histone pseudogene 32	pseudogene
chr9	HGNC:4203	GCNT1	glucosaminyl (N-acetyl) transferase 1	gene with protein product
chr9	HGNC:53711	PPIAP87	peptidylprolyl isomerase A pseudogene 87	pseudogene
chr9	HGNC:25209	PRUNE2	prune homolog 2 with BCH domain	gene with protein product
chr9	HGNC:8637	PCA3	prostate cancer associated 3	"RNA, long non-coding"
chr9	HGNC:50446	LYPLA2P3	LYPLA2 pseudogene 3	pseudogene
chr9	HGNC:23315	FOXB2	forkhead box B2	gene with protein product
chr9	HGNC:21286	ATP5MFP3	ATP synthase membrane subunit f pseudogene 3	pseudogene
chr9	HGNC:50450	RFC5P1	replication factor C 5 pseudogene 1	pseudogene
chr9	HGNC:44167	VPS13A-AS1	VPS13A antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:1908	VPS13A	vacuolar protein sorting 13 homolog A	gene with protein product
chr9	HGNC:4382	GNA14	G protein subunit alpha 14	gene with protein product
chr9	HGNC:50451	GNA14-AS1	GNA14 antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:50452	NUTF2P3	nuclear transport factor 2 pseudogene 3	pseudogene
chr9	HGNC:48266	RNU6-1303P	"RNA, U6 small nuclear 1303, pseudogene"	pseudogene
chr9	HGNC:4390	GNAQ	G protein subunit alpha q	gene with protein product
chr9	HGNC:33947	SYNGR2P2	synaptogyrin 2 pseudogene 2	pseudogene
chr9	HGNC:45783	RN7SKP59	RN7SK pseudogene 59	pseudogene
chr9	HGNC:766	ASS1P3	argininosuccinate synthetase 1 pseudogene 3	pseudogene
chr9	HGNC:36612	RPL21P84	ribosomal protein L21 pseudogene 84	pseudogene
chr9	HGNC:25740	CEP78	centrosomal protein 78	gene with protein product
chr9	HGNC:19129	PSAT1	phosphoserine aminotransferase 1	gene with protein product
chr9	HGNC:52115	MTCO1P50	MT-CO1 pseudogene 50	pseudogene
chr9	HGNC:42109	MTND2P8	MT-ND2 pseudogene 8	pseudogene
chr9	HGNC:33393	KRT18P24	keratin 18 pseudogene 24	pseudogene
chr9	HGNC:23676	CHCHD2P9	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9	pseudogene
chr9	HGNC:53864	LNCARSR	lncRNA regulator of Akt signaling associated with HCC and RCC	"RNA, long non-coding"
chr9	HGNC:11840	TLE4	"TLE family member 4, transcriptional corepressor"	gene with protein product
chr9	HGNC:51189	LINC01507	long intergenic non-protein coding RNA 1507	"RNA, long non-coding"
chr9	HGNC:45023	NPAP1P6	nuclear pore associated protein 1 pseudogene 6	pseudogene
chr9	HGNC:45021	NPAP1P4	nuclear pore associated protein 1 pseudogene 4	pseudogene
chr9	HGNC:52116	MTCO1P51	MT-CO1 pseudogene 51	pseudogene
chr9	HGNC:42110	MTND2P9	MT-ND2 pseudogene 9	pseudogene
chr9	HGNC:36217	RPS19P6	ribosomal protein S19 pseudogene 6	pseudogene
chr9	HGNC:35866	RPS20P25	ribosomal protein S20 pseudogene 25	pseudogene
chr9	HGNC:11837	TLE1	"TLE family member 1, transcriptional corepressor"	gene with protein product
chr9	HGNC:55701	TLE1-DT	TLE1 divergent transcript	"RNA, long non-coding"
chr9	HGNC:47998	RNU6-1035P	"RNA, U6 small nuclear 1035, pseudogene"	pseudogene
chr9	HGNC:43187	RNA5SP287	"RNA, 5S ribosomal pseudogene 287"	pseudogene
chr9	HGNC:38602	SPATA31D5P	"SPATA31 subfamily D member 5, pseudogene"	pseudogene
chr9	HGNC:38601	SPATA31D4	SPATA31 subfamily D member 4	gene with protein product
chr9	HGNC:38603	SPATA31D3	SPATA31 subfamily D member 3	gene with protein product
chr9	HGNC:38607	SPATA31D2P	"SPATA31 subfamily D member 2, pseudogene"	pseudogene
chr9	HGNC:23203	RALGAPA1P1	RALGAPA1 pseudogene 1	pseudogene
chr9	HGNC:55797	FKTN-AS1	FKTN antisense RNA 1	"RNA, long non-coding"
chr9	HGNC:3622	FKTN	fukutin	gene with protein product
chr9	HGNC:11557	TAL2	TAL bHLH transcription factor 2	gene with protein product
chr9	HGNC:25535	TMEM38B	transmembrane protein 38B	gene with protein product
chr9	HGNC:33975	DEPDC1P2	DEP domain containing 1 pseudogene 2	pseudogene
chr9	HGNC:43854	SLC25A6P5	solute carrier family 25 member 6 pseudogene 5	pseudogene
chr9	HGNC:50123	MIR8081	microRNA 8081	"RNA, micro"
